,BBAX
symbol,BBAX
price,53.61
beta,0
volAvg,357009
mktCap,0
lastDiv,2.4779999999999998
range,41.33-56.9
changes,0.12
companyName,JPMorgan BetaBuilders Developed Asia Pacific ex-Japan ETF
currency,USD
cik,
isin,US46641Q6888
cusip,
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"The fund will invest at least 80% of its assets in securities included in the underlying index. The underlying index targets 85% of the stocks traded on the primary exchanges in each country or region by market capitalization, and primarily includes large-and mid-cap companies."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BBAX.png
ipoDate,2018-08-07
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
