,BOTZ
symbol,BOTZ
price,23.8
beta,0
volAvg,539122
mktCap,1756110156
lastDiv,0.047
range,17.33-30.7
changes,0.35
companyName,Global X Robotics & Artificial Intelligence ETF
currency,USD
cik,
isin,US37954Y7159
cusip,37954Y715
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund invests at least 80% of its total assets in the securities of the underlying index. The underlying index is designed to provide exposure to exchange-listed companies in developed markets that are involved in the development of robotics and/or artificial intelligence as defined by Indxx, the provider of the underlying index. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BOTZ.png
ipoDate,2016-09-12
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
