,DTD
symbol,DTD
price,62.7
beta,0
volAvg,53975
mktCap,675248340
lastDiv,1.5759999999999998
range,54.04-66.14
changes,0.78
companyName,WisdomTree U.S. Total Dividend Fund
currency,USD
cik,
isin,US97717W1099
cusip,97717W109
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund invests at least 95% of its total assets (exclusive of collateral held from securities lending) will be invested in the component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index is a fundamentally-weighted index that is comprised of U.S. companies listed on a U.S. stock market that pay regular cash dividends. The fund is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DTD.png
ipoDate,2006-06-16
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
