,FMHI
symbol,FMHI
price,47.74
beta,0
volAvg,106431
mktCap,2954442223
lastDiv,1.674
range,44.09-54.67
changes,0.06
companyName,First Trust Municipal High Income ETF
currency,USD
cik,
isin,US33739P3010
cusip,33739P301
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"Under normal market conditions, the fund seeks to achieve its investment objectives by investing at least 80% of its net assets (including investment borrowings) in municipal debt securities that pay interest that is exempt from regular federal income taxes. Municipal securities are generally issued by or on behalf of states, territories or possessions of the U.S. and the District of Columbia and their political subdivisions, agencies, authorities and other instrumentalities."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FMHI.png
ipoDate,2017-11-01
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
