,HEZU
symbol,HEZU
price,30.86
beta,0
volAvg,96601
mktCap,0
lastDiv,6.3309999999999995
range,27.77-37.3
changes,0.24
companyName,iShares Currency Hedged MSCI Eurozone ETF
currency,USD
cik,
isin,US46434V6395
cusip,46434V639
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 80% of its assets in the component securities of the index and in investments that have economic characteristics that are substantially identical to the component securities of the index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/HEZU.png
ipoDate,2014-07-10
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
