,HIBL
symbol,HIBL
price,36.1
beta,0
volAvg,239486
mktCap,0
lastDiv,0.036
range,17.338-73.05
changes,2.33
companyName,Direxion Daily S&P 500 High Beta Bull 3X Shares
currency,USD
cik,0001424958
isin,US25460G8565
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund, under normal circumstances, invests at least 80% of its net assets (plus borrowing for investment purposes) in financial instruments that track the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. The index provider selects 100 securities from the S&P 500 ® Index that have exhibited the highest sensitivity to market movements, or “beta,” over the past 12 months based on the securities’ daily price changes. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/HIBL.png
ipoDate,2019-11-07
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
