,IHI
symbol,IHI
price,55.1146
beta,0
volAvg,763505
mktCap,3618403781
lastDiv,0.236
range,46.21-62.55
changes,1.1146
companyName,iShares U.S. Medical Devices ETF
currency,USD
cik,
isin,US4642888105
cusip,464288810
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will invest at least 80% of its assets in the component securities of the index and in investments that are substantially identical to the component securities of the index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents, as well as in securities not included in the index, but which BFA believes will help the fund track the index. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IHI.png
ipoDate,2006-05-01
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
