,QQQE
symbol,QQQE
price,69.87
beta,0
volAvg,129122
mktCap,0
lastDiv,0.622
range,57.41-79.46
changes,0.98
companyName,Direxion NASDAQ-100 Equal Weighted Index Shares
currency,USD
cik,0001424958
isin,US25459Y2072
cusip,25459Y207
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund, under normal circumstances, invests at least 80% of its assets in the securities that comprise the index or investments with economic characteristics similar to the securities included in the index. The index is the equal weighted version of the NASDAQ-100 Index® which includes approximately 100 of the largest domestic and international non-financial companies listed on the NASDAQ® Stock Market based on market capitalization. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/QQQE.png
ipoDate,2012-03-21
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
