,SRVR
symbol,SRVR
price,31.93
beta,0
volAvg,234647
mktCap,0
lastDiv,0.493
range,25.59-40.626
changes,0.39
companyName,Pacer Benchmark Data & Infrastructure Real Estate SCTR ETF
currency,USD
cik,
isin,US69374H7411
cusip,69374H741
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index is generally composed of equity securities of developed markets companies that derive at least 85% of their earnings or revenues from real estate operations in the data and infrastructure real estate sectors. Under normal circumstances, the fund will invest at least 80% of the value of its net assets, plus the amount of any borrowings for investment purposes, in companies the data and infrastructure real estate sector. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SRVR.png
ipoDate,2018-05-15
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
