,TBF
symbol,TBF
price,21.12
beta,0
volAvg,1659663
mktCap,0
lastDiv,0.082
range,16.47-24.81
changes,-0.19
companyName,ProShares Short 20+ Year Treasury
currency,USD
cik,
isin,US74347X8496
cusip,74347X849
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index includes publicly-issued U.S. Treasury securities that have a remaining maturity greater than or equal to twenty years and have $300 million or more of outstanding face value, excluding amounts held by the Federal Reserve. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/TBF.png
ipoDate,2009-08-20
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
