,VWO
symbol,VWO
price,42.23
beta,0
volAvg,13846460
mktCap,59887203039
lastDiv,1.604
range,34.88-50.99
changes,0.11
companyName,Vanguard Emerging Markets Stock Index Fund
currency,USD
cik,
isin,US9220428588
cusip,922042858
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund employs an indexing investment approach designed to track the performance of the FTSE Emerging Markets All Cap China A Inclusion Index. It invests by sampling the index, meaning that it holds a broadly diversified collection of securities that, in the aggregate, approximates the index in terms of key characteristics."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/VWO.png
ipoDate,2005-03-04
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
