,XHE
symbol,XHE
price,95.7
beta,0
volAvg,49478
mktCap,0
lastDiv,0.036000000000000004
range,78.53-114.99
changes,1.54
companyName,SPDR S&P Health Care Equipment ETF
currency,USD
cik,
isin,US78464A5810
cusip,78464A581
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"In seeking to track the performance of the S&P Health Care Equipment Select Industry Index (the ""index""), the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the health care equipment segment of the S&P Total Market Index (""S&P TMI"")."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XHE.png
ipoDate,2011-01-26
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
